p	r	C_pr
1	1	70
1	2	90
1	3	20
1	4	20
1	5	70
1	6	50
1	7	90
1	8	70
2	1	80
2	2	100
2	3	20
2	4	20
2	5	50
2	6	50
2	7	80
2	8	50
3	1	80
3	2	100
3	3	10
3	4	0
3	5	90
3	6	80
3	7	80
3	8	80
4	1	110
4	2	110
4	3	0
4	4	0
4	5	90
4	6	70
4	7	70
4	8	90
5	1	80
5	2	80
5	3	50
5	4	50
5	5	20
5	6	50
5	7	80
5	8	40
6	1	60
6	2	60
6	3	60
6	4	50
6	5	0
6	6	60
6	7	60
6	8	30
7	1	80
7	2	60
7	3	20
7	4	20
7	5	50
7	6	50
7	7	80
7	8	70
8	1	70
8	2	90
8	3	20
8	4	20
8	5	70
8	6	50
8	7	90
8	8	70
9	1	70
9	2	90
9	3	20
9	4	20
9	5	70
9	6	50
9	7	90
9	8	70
10	1	70
10	2	70
10	3	20
10	4	20
10	5	70
10	6	50
10	7	90
10	8	90
11	1	110
11	2	110
11	3	0
11	4	0
11	5	90
11	6	70
11	7	70
11	8	90
12	1	110
12	2	90
12	3	50
12	4	50
12	5	20
12	6	70
12	7	50
12	8	20
13	1	60
13	2	80
13	3	0
13	4	0
13	5	50
13	6	50
13	7	60
13	8	70
14	1	80
14	2	100
14	3	50
14	4	50
14	5	0
14	6	50
14	7	60
14	8	20
15	1	80
15	2	60
15	3	30
15	4	20
15	5	50
15	6	60
15	7	80
15	8	80
16	1	80
16	2	80
16	3	10
16	4	0
16	5	50
16	6	60
16	7	60
16	8	80
17	1	60
17	2	80
17	3	10
17	4	0
17	5	70
17	6	60
17	7	80
17	8	100
18	1	100
18	2	120
18	3	0
18	4	0
18	5	90
18	6	70
18	7	80
18	8	70
19	1	70
19	2	50
19	3	50
19	4	50
19	5	20
19	6	50
19	7	70
19	8	60
20	1	80
20	2	60
20	3	10
20	4	0
20	5	50
20	6	60
20	7	60
20	8	100
21	1	100
21	2	100
21	3	10
21	4	0
21	5	70
21	6	80
21	7	60
21	8	80
22	1	120
22	2	120
22	3	50
22	4	50
22	5	20
22	6	70
22	7	60
22	8	20
23	1	70
23	2	90
23	3	50
23	4	50
23	5	0
23	6	50
23	7	50
23	8	20
24	1	70
24	2	50
24	3	50
24	4	50
24	5	0
24	6	50
24	7	50
24	8	40
25	1	80
25	2	100
25	3	0
25	4	0
25	5	70
25	6	50
25	7	80
25	8	90
26	1	80
26	2	60
26	3	50
26	4	50
26	5	20
26	6	50
26	7	80
26	8	60
27	1	70
27	2	50
27	3	0
27	4	0
27	5	50
27	6	50
27	7	50
27	8	90
28	1	70
28	2	90
28	3	50
28	4	50
28	5	20
28	6	70
28	7	50
28	8	0
29	1	120
29	2	100
29	3	0
29	4	0
29	5	90
29	6	70
29	7	80
29	8	90
30	1	80
30	2	60
30	3	20
30	4	20
30	5	70
30	6	50
30	7	100
30	8	90
31	1	110
31	2	90
31	3	50
31	4	50
31	5	20
31	6	70
31	7	50
31	8	20
32	1	50
32	2	50
32	3	0
32	4	0
32	5	50
32	6	50
32	7	50
32	8	70
33	1	100
33	2	100
33	3	50
33	4	50
33	5	20
33	6	70
33	7	60
33	8	20
34	1	70
34	2	50
34	3	70
34	4	70
34	5	0
34	6	50
34	7	70
34	8	20
35	1	90
35	2	70
35	3	50
35	4	50
35	5	0
35	6	50
35	7	50
35	8	40
36	1	90
36	2	90
36	3	70
36	4	70
36	5	20
36	6	50
36	7	90
36	8	40
37	1	100
37	2	100
37	3	20
37	4	20
37	5	50
37	6	50
37	7	80
37	8	70
38	1	70
38	2	90
38	3	20
38	4	20
38	5	70
38	6	50
38	7	90
38	8	70
39	1	70
39	2	70
39	3	0
39	4	0
39	5	70
39	6	70
39	7	50
39	8	50
40	1	100
40	2	80
40	3	60
40	4	50
40	5	0
40	6	60
40	7	60
40	8	50
41	1	80
41	2	60
41	3	50
41	4	50
41	5	0
41	6	50
41	7	60
41	8	40
42	1	80
42	2	80
42	3	20
42	4	20
42	5	70
42	6	50
42	7	100
42	8	70
43	1	100
43	2	100
43	3	0
43	4	0
43	5	70
43	6	70
43	7	60
43	8	70
44	1	50
44	2	70
44	3	0
44	4	0
44	5	70
44	6	50
44	7	70
44	8	90
45	1	70
45	2	70
45	3	0
45	4	0
45	5	70
45	6	70
45	7	50
45	8	50
46	1	100
46	2	100
46	3	60
46	4	50
46	5	0
46	6	60
46	7	60
46	8	50
47	1	60
47	2	80
47	3	50
47	4	50
47	5	20
47	6	50
47	7	80
47	8	40
48	1	80
48	2	80
48	3	10
48	4	0
48	5	50
48	6	60
48	7	60
48	8	100
49	1	110
49	2	110
49	3	50
49	4	50
49	5	20
49	6	70
49	7	50
49	8	20
50	1	70
50	2	70
50	3	20
50	4	20
50	5	70
50	6	50
50	7	90
50	8	90
