p	r	R_p
1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	0
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	1
2	8	0
3	1	1
3	2	1
3	3	1
3	4	1
3	5	1
3	6	1
3	7	1
3	8	0
4	1	1
4	2	1
4	3	1
4	4	1
4	5	1
4	6	1
4	7	1
4	8	0
5	1	1
5	2	1
5	3	0
5	4	0
5	5	1
5	6	1
5	7	0
5	8	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	1
6	6	1
6	7	0
6	8	0
7	1	1
7	2	1
7	3	1
7	4	1
7	5	1
7	6	1
7	7	1
7	8	0
8	1	1
8	2	1
8	3	1
8	4	1
8	5	1
8	6	1
8	7	1
8	8	0
9	1	1
9	2	1
9	3	1
9	4	1
9	5	1
9	6	1
9	7	1
9	8	0
10	1	1
10	2	1
10	3	1
10	4	1
10	5	1
10	6	1
10	7	1
10	8	0
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	6	1
11	7	1
11	8	0
12	1	1
12	2	1
12	3	1
12	4	1
12	5	1
12	6	1
12	7	1
12	8	0
13	1	1
13	2	1
13	3	0
13	4	0
13	5	1
13	6	1
13	7	0
13	8	1
14	1	1
14	2	1
14	3	0
14	4	0
14	5	1
14	6	1
14	7	0
14	8	0
15	1	1
15	2	1
15	3	1
15	4	1
15	5	1
15	6	1
15	7	1
15	8	0
16	1	0
16	2	1
16	3	0
16	4	0
16	5	0
16	6	1
16	7	0
16	8	0
17	1	1
17	2	1
17	3	0
17	4	0
17	5	1
17	6	1
17	7	0
17	8	0
18	1	0
18	2	1
18	3	1
18	4	1
18	5	1
18	6	1
18	7	1
18	8	0
19	1	1
19	2	0
19	3	0
19	4	0
19	5	1
19	6	1
19	7	0
19	8	1
20	1	0
20	2	0
20	3	0
20	4	0
20	5	1
20	6	1
20	7	0
20	8	0
21	1	1
21	2	1
21	3	1
21	4	1
21	5	1
21	6	1
21	7	1
21	8	0
22	1	1
22	2	1
22	3	1
22	4	1
22	5	0
22	6	1
22	7	0
22	8	0
23	1	1
23	2	1
23	3	0
23	4	0
23	5	1
23	6	1
23	7	0
23	8	1
24	1	1
24	2	0
24	3	0
24	4	0
24	5	0
24	6	1
24	7	0
24	8	0
25	1	1
25	2	1
25	3	0
25	4	0
25	5	1
25	6	1
25	7	0
25	8	0
26	1	1
26	2	0
26	3	0
26	4	0
26	5	1
26	6	1
26	7	0
26	8	0
27	1	1
27	2	1
27	3	0
27	4	0
27	5	1
27	6	1
27	7	0
27	8	0
28	1	1
28	2	1
28	3	1
28	4	1
28	5	0
28	6	1
28	7	0
28	8	0
29	1	1
29	2	1
29	3	1
29	4	1
29	5	1
29	6	1
29	7	1
29	8	0
30	1	1
30	2	0
30	3	1
30	4	1
30	5	1
30	6	1
30	7	1
30	8	1
31	1	1
31	2	1
31	3	1
31	4	1
31	5	0
31	6	1
31	7	0
31	8	0
32	1	1
32	2	1
32	3	0
32	4	0
32	5	0
32	6	1
32	7	0
32	8	0
33	1	1
33	2	1
33	3	1
33	4	1
33	5	1
33	6	1
33	7	1
33	8	0
34	1	1
34	2	1
34	3	1
34	4	1
34	5	0
34	6	1
34	7	0
34	8	0
35	1	1
35	2	1
35	3	0
35	4	0
35	5	1
35	6	1
35	7	0
35	8	0
36	1	1
36	2	1
36	3	1
36	4	1
36	5	1
36	6	1
36	7	1
36	8	0
37	1	1
37	2	1
37	3	1
37	4	1
37	5	1
37	6	1
37	7	1
37	8	1
38	1	1
38	2	1
38	3	1
38	4	1
38	5	1
38	6	1
38	7	1
38	8	0
39	1	1
39	2	1
39	3	1
39	4	1
39	5	1
39	6	1
39	7	1
39	8	1
40	1	1
40	2	1
40	3	0
40	4	0
40	5	1
40	6	1
40	7	0
40	8	0
41	1	1
41	2	1
41	3	0
41	4	0
41	5	1
41	6	1
41	7	0
41	8	1
42	1	1
42	2	1
42	3	1
42	4	1
42	5	1
42	6	1
42	7	1
42	8	0
43	1	1
43	2	1
43	3	1
43	4	1
43	5	1
43	6	1
43	7	1
43	8	1
44	1	0
44	2	0
44	3	0
44	4	0
44	5	1
44	6	1
44	7	0
44	8	0
45	1	1
45	2	1
45	3	1
45	4	1
45	5	1
45	6	1
45	7	1
45	8	0
46	1	1
46	2	1
46	3	0
46	4	0
46	5	1
46	6	1
46	7	0
46	8	1
47	1	1
47	2	1
47	3	0
47	4	0
47	5	1
47	6	1
47	7	0
47	8	1
48	1	1
48	2	1
48	3	0
48	4	0
48	5	1
48	6	1
48	7	0
48	8	1
49	1	1
49	2	1
49	3	1
49	4	1
49	5	1
49	6	1
49	7	1
49	8	0
50	1	1
50	2	1
50	3	1
50	4	1
50	5	1
50	6	1
50	7	1
50	8	0
