p	Fe	Ma
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	0	1
13	0	1
14	0	1
15	1	0
16	1	0
17	1	0
18	0	1
19	0	1
20	1	0
21	0	1
22	0	1
23	0	1
24	0	1
25	0	1
26	0	1
27	0	1
28	0	1
29	0	1
30	0	1
31	1	0
32	0	1
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	0	1
39	1	0
40	0	1
41	1	0
42	0	1
43	1	0
44	1	0
45	0	1
46	0	1
47	0	1
48	0	1
49	0	1
50	1	0
51	0	1
52	0	1
53	0	1
54	1	0
55	1	0
56	1	0
57	0	1
58	0	1
59	0	1
60	0	1
61	1	0
62	0	1
63	1	0
64	1	0
65	1	0
66	1	0
67	0	1
68	0	1
69	1	0
70	0	1
71	0	1
72	0	1
73	1	0
74	1	0
75	1	0
76	1	0
77	0	1
78	0	1
79	0	1
80	1	0
81	0	1
82	1	0
83	1	0
84	0	1
85	1	0
86	0	1
87	1	0
88	1	0
89	0	1
90	0	1
91	1	0
92	1	0
93	0	1
94	1	0
95	1	0
96	1	0
97	0	1
98	0	1
99	0	1
100	1	0
101	1	0
102	0	1
103	1	0
104	1	0
105	1	0
106	1	0
107	0	1
108	0	1
109	1	0
110	0	1
111	1	0
112	1	0
113	1	0
114	1	0
115	1	0
116	0	1
117	0	1
118	1	0
119	0	1
120	0	1
121	0	1
122	0	1
123	1	0
124	1	0
125	1	0
126	0	1
127	1	0
128	0	1
129	0	1
130	1	0
131	0	1
132	0	1
133	0	1
134	1	0
135	1	0
136	1	0
137	1	0
138	0	1
139	1	0
140	1	0
141	1	0
142	0	1
143	1	0
144	1	0
145	0	1
146	1	0
147	0	1
148	1	0
149	1	0
150	1	0
151	0	1
152	0	1
153	0	1
154	0	1
155	1	0
156	1	0
157	0	1
158	1	0
159	1	0
160	0	1
161	0	1
162	1	0
163	1	0
164	0	1
165	1	0
166	0	1
167	1	0
168	0	1
169	1	0
170	0	1
171	0	1
172	0	1
173	0	1
174	1	0
175	0	1
176	1	0
177	0	1
178	0	1
179	1	0
180	0	1
181	0	1
182	0	1
183	0	1
184	1	0
185	0	1
186	0	1
187	0	1
188	1	0
189	1	0
190	0	1
191	0	1
192	0	1
193	1	0
194	1	0
195	1	0
196	0	1
197	1	0
198	1	0
199	0	1
200	0	1
201	1	0
202	1	0
