p	Fe	Ma
1	0	1
2	0	1
3	1	0
4	1	0
5	0	1
6	0	1
7	1	0
8	0	1
9	1	0
10	1	0
11	0	1
12	1	0
13	0	1
14	0	1
15	0	1
16	1	0
17	1	0
18	1	0
19	1	0
20	0	1
21	0	1
22	0	1
23	0	1
24	1	0
25	1	0
26	0	1
27	0	1
28	0	1
29	0	1
30	0	1
31	1	0
32	0	1
33	1	0
34	1	0
35	0	1
36	1	0
37	0	1
38	1	0
39	0	1
40	0	1
41	0	1
42	1	0
43	0	1
44	0	1
45	1	0
46	1	0
47	1	0
48	1	0
49	1	0
50	0	1
51	1	0
52	1	0
53	0	1
54	0	1
55	0	1
56	0	1
57	0	1
58	1	0
59	1	0
60	0	1
61	1	0
62	1	0
63	0	1
64	1	0
65	1	0
66	0	1
67	1	0
68	1	0
69	1	0
70	0	1
71	1	0
72	1	0
73	0	1
74	0	1
75	0	1
76	0	1
77	0	1
78	0	1
79	1	0
80	0	1
81	0	1
82	0	1
83	1	0
84	1	0
85	0	1
86	0	1
87	1	0
88	0	1
89	1	0
90	1	0
91	0	1
92	1	0
93	1	0
94	0	1
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	0	1
