p	L_p
1	2
2	3
3	1
4	4
5	4
6	3
7	1
8	1
9	2
10	3
11	2
12	3
13	1
14	4
15	1
16	3
17	3
18	1
19	2
20	3
21	5
22	3
23	1
24	4
25	2
26	1
27	3
28	2
29	2
30	5
31	1
32	4
33	5
34	1
35	3
36	3
37	1
38	2
39	3
40	1
41	5
42	2
43	4
44	1
45	2
46	4
47	2
48	5
49	5
50	3
51	9
52	5
53	4
54	7
55	8
56	7
57	2
58	5
59	5
60	7
61	2
62	8
63	2
64	2
65	9
66	1
67	3
68	3
69	2
70	2
71	5
72	1
73	3
74	4
75	6
76	2
77	1
78	2
79	2
80	2
81	6
82	1
83	7
84	9
85	4
86	2
87	3
88	3
89	2
90	1
91	1
92	2
93	5
94	2
95	1
96	9
97	5
98	2
99	1
100	2
101	6
102	9
103	3
104	3
105	3
106	3
107	2
108	1
109	3
110	8
111	10
112	8
113	3
114	3
115	6
116	2
117	10
118	3
119	5
120	1
121	7
122	6
123	3
124	2
125	8
126	6
127	1
128	6
129	3
130	3
131	7
132	3
133	7
134	1
135	5
136	7
137	7
138	2
139	7
140	1
141	5
142	9
143	6
144	1
145	2
146	3
147	1
148	4
149	4
150	2
151	2
152	7
153	1
154	9
155	4
156	5
157	3
158	3
159	2
160	8
161	6
162	1
163	2
164	7
165	3
166	2
167	8
168	2
169	3
170	2
171	3
172	2
173	2
174	7
175	2
176	10
177	7
178	1
179	8
180	4
181	6
182	6
183	1
184	8
185	2
186	2
187	2
188	8
189	8
190	5
191	5
192	3
193	5
194	4
195	3
196	10
197	5
198	8
199	7
200	5
201	5
202	4
203	2
204	6
205	3
206	2
207	5
208	7
209	2
210	3
211	3
212	3
213	3
214	5
215	1
216	6
217	2
218	9
219	1
220	8
221	7
222	6
223	2
224	2
225	2
226	2
227	7
228	3
229	5
230	1
231	7
232	4
233	2
234	5
235	7
236	4
237	6
238	1
239	10
240	3
241	3
242	8
243	3
244	3
245	2
246	5
247	4
248	3
249	5
250	9
251	6
252	1
253	9
254	2
255	3
256	3
257	8
258	7
259	1
260	4
261	4
262	3
263	7
264	5
265	3
266	1
267	3
268	7
269	2
270	1
271	5
272	1
273	4
274	2
275	1
276	4
277	10
278	2
279	1
280	1
281	4
282	3
283	2
284	8
285	4
286	6
287	2
288	7
289	3
290	3
291	1
292	5
293	8
294	2
295	2
296	1
297	9
298	3
299	9
300	7
301	2
302	9
303	2
304	6
305	8
306	8
307	5
308	7
309	8
310	5
311	9
312	3
313	2
314	1
315	3
316	2
317	1
318	10
319	4
320	7
321	5
322	2
323	2
324	2
325	2
326	7
327	3
328	6
329	3
330	2
331	2
332	1
333	5
334	2
335	8
336	8
337	2
338	3
339	4
340	2
341	2
342	3
343	2
344	2
345	6
346	10
347	2
348	5
349	8
350	6
351	3
352	2
353	3
354	6
355	6
356	9
357	2
358	10
359	5
360	1
361	2
362	3
363	3
364	5
365	7
366	6
367	10
368	3
369	4
370	2
371	7
372	2
373	2
374	2
375	9
376	2
377	8
378	10
379	4
380	2
381	5
382	1
383	5
384	1
385	2
386	3
387	7
388	6
389	4
390	7
391	10
392	10
393	7
394	9
395	1
396	2
397	7
398	8
399	4
400	3
401	4
402	8
403	8
404	3
405	8
406	3
407	2
408	2
409	9
410	3
411	3
412	2
413	6
414	2
415	3
416	8
417	1
418	1
419	3
420	8
421	1
422	2
423	8
424	2
425	4
426	2
427	4
428	2
429	7
430	10
431	2
432	4
433	7
434	10
435	6
436	4
437	6
438	5
439	2
440	2
441	3
442	4
443	7
444	8
445	9
446	2
447	8
448	4
449	2
450	4
451	5
452	2
453	9
454	4
455	10
456	3
457	4
458	1
459	3
460	2
461	2
462	3
463	1
464	2
465	4
466	6
467	2
468	2
469	3
470	1
471	10
472	1
473	3
474	1
475	8
476	8
477	2
478	1
479	7
480	8
481	9
482	7
483	3
484	4
485	2
486	10
487	10
488	3
489	5
490	2
491	7
492	5
493	2
494	6
495	2
496	10
497	3
498	5
499	2
500	1
501	9
502	9
503	2
504	4
505	6
506	5
507	7
508	4
509	2
510	2
511	8
512	6
513	3
514	2
515	6
516	2
517	2
518	8
519	1
520	4
521	6
522	1
523	6
524	2
525	6
526	2
527	4
528	6
529	1
530	1
531	4
532	2
533	8
534	3
535	10
536	7
537	3
538	6
539	7
540	4
541	1
542	4
543	1
544	1
545	5
546	9
547	9
548	5
549	4
550	10
551	2
552	3
553	1
554	10
555	8
556	5
557	1
558	3
559	9
560	2
561	1
562	6
563	4
564	2
565	1
566	6
567	3
568	1
569	7
570	3
571	4
572	1
573	1
574	3
575	2
576	6
577	2
578	5
579	3
580	2
581	1
582	4
583	2
584	3
585	5
586	4
587	3
588	2
589	2
590	4
591	4
592	6
593	9
594	2
595	8
596	4
597	7
598	2
599	1
600	5
601	5
602	9
603	7
604	6
605	1
606	3
607	5
608	1
609	2
610	1
611	6
612	7
613	8
614	2
615	8
616	2
617	3
618	2
619	2
620	2
621	3
622	8
623	4
624	3
625	2
626	2
627	5
628	7
629	3
630	4
631	1
632	7
633	1
634	1
635	1
636	5
637	9
638	4
639	6
640	2
641	3
642	6
643	3
644	3
645	1
646	3
647	3
648	10
649	1
650	2
651	2
652	9
653	2
654	4
655	5
656	7
657	2
658	8
659	1
660	7
661	8
662	3
663	3
664	3
665	8
666	8
667	4
668	8
669	5
670	2
671	4
672	3
673	9
674	1
675	3
676	3
677	3
678	10
679	2
680	8
681	9
682	2
683	3
684	1
685	4
686	1
687	4
688	2
689	2
690	2
691	3
692	3
693	9
694	7
695	3
696	4
697	6
698	6
699	2
700	9
701	1
702	6
703	2
704	6
705	9
706	1
707	1
708	6
709	2
710	5
711	8
712	6
713	3
714	4
715	7
716	9
717	8
718	7
719	10
720	2
721	1
722	2
723	8
724	2
725	5
726	4
727	3
728	7
729	6
730	2
731	4
732	2
733	3
734	4
735	3
736	6
737	8
738	7
739	5
740	7
741	2
742	9
743	5
744	6
745	2
746	2
747	3
748	7
749	1
750	4
751	2
752	8
753	4
754	10
755	1
756	7
757	2
758	9
759	2
760	1
761	8
762	5
763	2
764	6
765	7
766	3
767	6
768	6
769	4
770	3
771	1
772	2
773	3
774	1
775	1
776	2
777	10
778	7
779	3
780	1
781	3
782	5
783	6
784	4
785	2
786	5
787	5
788	1
789	7
790	5
791	4
792	8
793	3
794	7
795	3
796	4
797	6
798	2
799	3
800	9
801	3
802	2
803	2
804	3
805	1
806	2
807	4
808	10
809	4
810	5
811	1
812	2
813	3
814	4
815	3
816	6
817	5
818	7
819	2
820	5
821	6
822	6
823	10
824	2
825	7
826	5
827	10
828	1
829	9
830	4
831	1
832	4
833	3
834	2
835	6
836	1
837	2
838	1
839	4
840	6
841	8
842	10
843	2
844	2
845	2
846	3
847	3
848	2
849	3
850	4
851	2
852	8
853	1
854	6
855	3
856	9
857	8
858	4
859	2
860	2
861	8
862	5
863	3
864	7
865	5
866	6
867	3
868	1
869	5
870	7
871	4
872	1
873	4
874	2
875	2
876	4
877	10
878	3
879	2
880	7
881	3
882	5
883	1
884	5
885	3
886	3
887	7
888	2
889	10
890	1
891	3
892	1
893	2
894	7
895	5
896	6
897	3
898	5
899	3
900	7
901	9
902	4
903	7
904	3
905	3
906	6
907	2
908	2
909	3
910	5
911	3
912	2
913	3
914	5
915	9
916	8
917	1
918	5
919	7
920	3
921	7
922	1
923	10
924	5
925	3
926	3
927	10
928	6
929	10
930	8
931	2
932	5
933	10
934	1
935	9
936	5
937	5
938	8
939	7
940	7
941	1
942	6
943	1
944	3
945	9
946	7
947	6
