p	Fe	Ma
1	0	1
2	1	0
3	0	1
4	1	0
5	0	1
6	0	1
7	0	1
8	1	0
9	0	1
10	1	0
11	0	1
12	1	0
13	1	0
14	0	1
15	0	1
16	1	0
17	1	0
18	0	1
19	1	0
20	0	1
21	1	0
22	0	1
23	1	0
24	1	0
25	0	1
26	0	1
27	1	0
28	0	1
29	0	1
30	1	0
31	1	0
32	1	0
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	0	1
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	0	1
45	0	1
46	1	0
47	0	1
48	1	0
49	0	1
50	1	0
51	0	1
52	0	1
53	0	1
54	0	1
55	1	0
56	0	1
57	0	1
58	0	1
59	0	1
60	1	0
61	1	0
62	1	0
63	0	1
64	1	0
65	0	1
66	0	1
67	0	1
68	0	1
69	0	1
70	0	1
71	1	0
72	0	1
73	1	0
74	0	1
75	1	0
76	1	0
77	0	1
78	0	1
79	1	0
80	0	1
81	0	1
82	0	1
83	0	1
84	1	0
85	1	0
86	1	0
87	0	1
88	1	0
89	0	1
90	1	0
91	0	1
92	0	1
93	0	1
94	1	0
95	0	1
96	0	1
97	0	1
98	0	1
99	0	1
100	0	1
101	1	0
102	1	0
103	1	0
104	0	1
105	1	0
106	1	0
107	1	0
108	1	0
109	0	1
110	0	1
111	1	0
112	0	1
113	1	0
114	0	1
115	1	0
116	1	0
117	0	1
118	1	0
119	0	1
120	0	1
121	0	1
122	1	0
123	1	0
124	0	1
125	1	0
126	0	1
127	1	0
128	0	1
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	0	1
135	0	1
136	1	0
137	1	0
138	0	1
139	0	1
140	1	0
141	0	1
142	0	1
143	1	0
144	1	0
145	0	1
146	1	0
147	0	1
148	0	1
149	1	0
150	0	1
151	0	1
152	1	0
153	0	1
154	1	0
155	0	1
156	1	0
157	1	0
158	1	0
159	0	1
160	0	1
161	1	0
162	1	0
163	1	0
164	0	1
165	0	1
166	1	0
167	1	0
168	0	1
169	1	0
170	1	0
171	1	0
172	1	0
173	0	1
174	1	0
175	1	0
176	0	1
177	0	1
178	1	0
179	0	1
180	0	1
181	0	1
182	1	0
183	1	0
184	1	0
185	0	1
186	0	1
187	1	0
188	1	0
189	0	1
190	1	0
191	0	1
192	1	0
193	1	0
194	0	1
195	1	0
196	0	1
197	1	0
198	0	1
199	0	1
200	0	1
201	1	0
202	1	0
203	0	1
204	0	1
205	1	0
206	0	1
207	0	1
208	0	1
209	0	1
210	1	0
211	0	1
212	0	1
213	1	0
214	1	0
215	0	1
216	0	1
217	1	0
218	0	1
219	1	0
220	1	0
221	0	1
222	0	1
223	1	0
224	0	1
225	1	0
226	0	1
227	0	1
228	1	0
229	1	0
230	1	0
231	0	1
232	1	0
233	1	0
234	1	0
235	1	0
236	1	0
237	1	0
238	1	0
239	0	1
240	0	1
241	1	0
242	0	1
243	0	1
244	0	1
245	1	0
246	0	1
247	1	0
248	1	0
249	0	1
250	1	0
251	1	0
252	0	1
253	0	1
254	1	0
255	0	1
256	0	1
257	1	0
258	0	1
259	1	0
260	0	1
261	1	0
262	0	1
263	1	0
264	1	0
265	0	1
266	1	0
267	1	0
268	0	1
269	0	1
270	1	0
271	0	1
272	0	1
273	0	1
274	0	1
275	0	1
276	1	0
277	1	0
278	1	0
279	1	0
280	1	0
281	1	0
282	0	1
283	1	0
284	0	1
285	1	0
286	1	0
287	0	1
288	0	1
289	0	1
290	0	1
291	0	1
292	1	0
293	1	0
294	0	1
295	1	0
296	1	0
297	0	1
298	0	1
299	1	0
300	0	1
301	0	1
302	1	0
303	0	1
304	1	0
305	0	1
306	1	0
307	1	0
308	0	1
309	0	1
310	0	1
311	1	0
312	1	0
313	1	0
314	0	1
315	1	0
316	0	1
317	0	1
318	0	1
319	1	0
320	0	1
321	1	0
322	1	0
323	1	0
324	1	0
325	1	0
326	1	0
327	1	0
328	1	0
329	1	0
330	1	0
331	1	0
332	0	1
333	1	0
334	0	1
335	0	1
336	0	1
337	1	0
338	0	1
339	1	0
340	0	1
341	1	0
342	0	1
343	0	1
344	1	0
345	1	0
346	0	1
347	1	0
348	0	1
349	0	1
350	1	0
351	1	0
352	0	1
353	1	0
354	0	1
355	0	1
356	1	0
357	1	0
358	1	0
359	1	0
360	1	0
361	1	0
362	0	1
363	1	0
364	1	0
365	1	0
366	1	0
367	0	1
368	0	1
369	1	0
370	0	1
371	0	1
372	1	0
373	0	1
374	0	1
375	1	0
376	0	1
377	1	0
378	0	1
379	1	0
380	0	1
381	0	1
382	0	1
383	1	0
384	0	1
385	1	0
386	1	0
387	0	1
388	1	0
389	1	0
390	1	0
391	1	0
392	0	1
393	0	1
394	0	1
395	1	0
396	0	1
397	1	0
398	0	1
399	1	0
400	1	0
401	1	0
402	0	1
403	0	1
404	0	1
405	0	1
406	0	1
407	1	0
408	0	1
409	0	1
410	0	1
411	1	0
412	1	0
413	1	0
414	0	1
415	1	0
416	0	1
417	1	0
418	0	1
419	0	1
420	0	1
421	1	0
422	0	1
423	1	0
424	0	1
425	0	1
426	0	1
427	0	1
428	1	0
429	1	0
430	0	1
431	1	0
432	0	1
433	1	0
434	1	0
435	0	1
436	1	0
437	1	0
438	1	0
439	0	1
440	1	0
441	0	1
442	0	1
443	0	1
444	0	1
445	0	1
446	0	1
447	1	0
448	1	0
449	0	1
450	0	1
451	1	0
452	1	0
453	0	1
454	0	1
455	0	1
456	0	1
457	0	1
458	0	1
459	1	0
460	0	1
461	1	0
462	1	0
463	1	0
464	0	1
465	0	1
466	1	0
467	1	0
468	1	0
469	1	0
470	1	0
471	1	0
472	1	0
473	1	0
474	1	0
475	1	0
476	0	1
477	0	1
478	1	0
479	0	1
480	0	1
481	0	1
482	1	0
483	0	1
484	1	0
485	1	0
486	0	1
487	1	0
488	1	0
489	1	0
490	0	1
491	1	0
492	0	1
493	0	1
494	0	1
495	0	1
496	1	0
497	0	1
498	0	1
499	0	1
500	1	0
501	0	1
502	0	1
503	0	1
504	1	0
505	0	1
506	0	1
507	0	1
508	1	0
509	0	1
510	1	0
511	0	1
512	0	1
513	1	0
514	1	0
515	1	0
516	0	1
517	0	1
518	0	1
519	0	1
520	0	1
521	1	0
522	0	1
523	1	0
524	0	1
525	1	0
526	0	1
527	1	0
528	1	0
529	0	1
530	0	1
531	0	1
532	0	1
533	0	1
534	1	0
535	0	1
536	0	1
537	1	0
538	0	1
539	0	1
540	0	1
541	0	1
542	1	0
543	1	0
544	1	0
545	0	1
546	1	0
547	1	0
548	1	0
549	0	1
550	1	0
551	1	0
552	1	0
553	0	1
554	1	0
555	1	0
556	1	0
557	0	1
558	1	0
559	1	0
560	1	0
561	0	1
562	1	0
563	1	0
564	0	1
565	0	1
566	0	1
567	1	0
568	0	1
569	1	0
570	0	1
571	1	0
572	1	0
573	0	1
574	1	0
575	1	0
576	1	0
577	1	0
578	1	0
579	1	0
580	1	0
581	0	1
582	1	0
583	1	0
584	1	0
585	1	0
586	0	1
587	1	0
588	1	0
589	0	1
590	1	0
591	1	0
592	1	0
593	0	1
594	1	0
595	1	0
596	1	0
597	1	0
598	0	1
599	0	1
600	1	0
601	1	0
602	1	0
603	0	1
604	1	0
605	0	1
606	0	1
607	1	0
608	0	1
609	0	1
610	1	0
611	1	0
612	1	0
613	0	1
614	0	1
615	0	1
616	0	1
617	0	1
618	0	1
619	0	1
620	1	0
621	0	1
622	1	0
623	1	0
624	0	1
625	1	0
626	0	1
627	1	0
628	1	0
629	1	0
630	0	1
631	0	1
632	0	1
633	0	1
634	1	0
635	0	1
636	1	0
637	1	0
638	1	0
639	1	0
640	0	1
641	0	1
642	0	1
643	1	0
644	0	1
645	0	1
646	1	0
647	1	0
648	1	0
649	1	0
650	1	0
651	0	1
652	1	0
653	0	1
654	1	0
655	0	1
656	1	0
657	0	1
658	0	1
659	0	1
660	0	1
661	0	1
662	0	1
663	0	1
664	1	0
665	0	1
666	1	0
667	0	1
668	1	0
669	0	1
670	0	1
671	0	1
672	1	0
673	1	0
674	0	1
675	0	1
676	1	0
677	0	1
678	1	0
679	0	1
680	1	0
681	1	0
682	1	0
683	1	0
684	1	0
685	1	0
686	1	0
687	1	0
688	0	1
689	0	1
690	0	1
691	1	0
692	0	1
693	0	1
694	0	1
695	1	0
696	0	1
697	0	1
698	1	0
699	0	1
700	0	1
701	1	0
702	0	1
703	0	1
704	1	0
705	0	1
706	1	0
707	1	0
708	0	1
709	1	0
710	0	1
711	0	1
712	1	0
713	0	1
714	1	0
715	0	1
716	1	0
717	0	1
718	0	1
719	0	1
720	1	0
721	0	1
722	1	0
723	1	0
724	0	1
725	1	0
726	0	1
727	0	1
728	1	0
729	1	0
730	0	1
731	0	1
732	0	1
733	1	0
734	1	0
735	0	1
736	0	1
737	0	1
738	1	0
739	1	0
740	0	1
741	0	1
742	1	0
743	0	1
744	1	0
745	1	0
746	0	1
747	0	1
748	1	0
749	1	0
750	1	0
751	1	0
752	0	1
753	0	1
754	1	0
755	1	0
756	1	0
757	0	1
758	0	1
759	1	0
760	1	0
761	1	0
762	0	1
763	1	0
764	1	0
765	0	1
766	0	1
767	1	0
768	1	0
769	0	1
770	0	1
771	1	0
772	0	1
773	1	0
774	0	1
775	1	0
776	1	0
777	0	1
778	0	1
779	1	0
780	0	1
781	1	0
782	0	1
783	1	0
784	1	0
785	1	0
786	1	0
787	1	0
788	0	1
789	1	0
790	1	0
791	1	0
792	0	1
793	1	0
794	1	0
795	1	0
796	1	0
797	0	1
798	0	1
799	0	1
800	0	1
801	0	1
802	1	0
803	0	1
804	0	1
805	0	1
806	0	1
807	1	0
808	1	0
809	1	0
810	0	1
811	1	0
812	0	1
813	1	0
814	0	1
815	1	0
816	1	0
817	0	1
818	1	0
819	0	1
820	0	1
821	1	0
822	1	0
823	0	1
824	1	0
825	0	1
826	0	1
827	1	0
828	1	0
829	0	1
830	0	1
831	0	1
832	1	0
833	1	0
834	1	0
835	0	1
836	0	1
837	1	0
838	0	1
839	1	0
840	0	1
841	0	1
842	1	0
843	0	1
844	0	1
845	0	1
846	0	1
847	0	1
848	0	1
849	0	1
850	0	1
851	1	0
852	0	1
853	1	0
854	0	1
855	1	0
856	0	1
857	1	0
858	0	1
859	0	1
860	0	1
861	1	0
862	1	0
863	1	0
864	0	1
865	1	0
866	0	1
867	0	1
868	0	1
869	1	0
870	0	1
871	1	0
872	0	1
873	0	1
874	1	0
875	1	0
876	0	1
877	1	0
878	0	1
879	1	0
880	1	0
881	0	1
882	1	0
883	1	0
884	1	0
885	1	0
886	1	0
887	1	0
888	1	0
889	0	1
890	0	1
891	0	1
892	0	1
893	1	0
894	0	1
895	1	0
896	1	0
897	0	1
898	0	1
899	1	0
900	0	1
901	0	1
902	0	1
903	0	1
904	0	1
905	0	1
906	0	1
907	1	0
908	0	1
909	0	1
910	1	0
911	0	1
912	0	1
913	0	1
914	0	1
915	1	0
916	0	1
917	1	0
918	1	0
919	1	0
920	1	0
921	1	0
922	1	0
923	0	1
924	0	1
925	1	0
926	1	0
927	1	0
928	1	0
929	0	1
930	1	0
931	0	1
932	1	0
933	1	0
934	0	1
935	0	1
936	1	0
937	0	1
938	1	0
939	0	1
940	0	1
941	1	0
942	0	1
943	1	0
944	1	0
945	0	1
946	0	1
947	0	1
948	1	0
949	1	0
950	1	0
951	0	1
952	0	1
953	0	1
954	0	1
955	0	1
956	0	1
957	0	1
958	1	0
959	1	0
960	0	1
961	0	1
962	1	0
963	1	0
