p	r	C_pr
1	1	50
1	2	50
1	3	20
1	4	50
1	5	0
1	6	70
1	7	50
1	8	50
2	1	60
2	2	90
2	3	30
2	4	80
2	5	30
2	6	80
2	7	80
2	8	60
3	1	70
3	2	50
3	3	70
3	4	70
3	5	40
3	6	110
3	7	80
3	8	70
4	1	60
4	2	120
4	3	30
4	4	80
4	5	50
4	6	80
4	7	80
4	8	60
5	1	50
5	2	110
5	3	70
5	4	70
5	5	90
5	6	70
5	7	70
5	8	50
6	1	50
6	2	50
6	3	10
6	4	50
6	5	0
6	6	50
6	7	60
6	8	50
7	1	60
7	2	100
7	3	80
7	4	80
7	5	80
7	6	80
7	7	80
7	8	60
8	1	70
8	2	50
8	3	50
8	4	70
8	5	20
8	6	90
8	7	80
8	8	70
9	1	70
9	2	50
9	3	70
9	4	70
9	5	70
9	6	70
9	7	70
9	8	70
10	1	50
10	2	70
10	3	70
10	4	50
10	5	70
10	6	70
10	7	50
10	8	50
11	1	60
11	2	100
11	3	80
11	4	80
11	5	80
11	6	80
11	7	80
11	8	60
12	1	80
12	2	60
12	3	50
12	4	80
12	5	50
12	6	100
12	7	80
12	8	80
13	1	80
13	2	50
13	3	30
13	4	80
13	5	30
13	6	80
13	7	80
13	8	80
14	1	60
14	2	90
14	3	30
14	4	80
14	5	50
14	6	80
14	7	80
14	8	60
15	1	50
15	2	70
15	3	10
15	4	50
15	5	0
15	6	50
15	7	60
15	8	50
16	1	50
16	2	70
16	3	60
16	4	50
16	5	50
16	6	50
16	7	60
16	8	50
17	1	60
17	2	110
17	3	30
17	4	80
17	5	50
17	6	80
17	7	80
17	8	60
18	1	60
18	2	100
18	3	10
18	4	60
18	5	10
18	6	60
18	7	60
18	8	60
19	1	70
19	2	70
19	3	70
19	4	70
19	5	40
19	6	110
19	7	80
19	8	70
20	1	70
20	2	90
20	3	90
20	4	90
20	5	110
20	6	90
20	7	90
20	8	70
21	1	50
21	2	90
21	3	100
21	4	50
21	5	70
21	6	90
21	7	60
21	8	50
22	1	80
22	2	70
22	3	120
22	4	100
22	5	120
22	6	120
22	7	100
22	8	80
23	1	50
23	2	50
23	3	100
23	4	50
23	5	70
23	6	90
23	7	60
23	8	50
24	1	60
24	2	120
24	3	80
24	4	80
24	5	80
24	6	80
24	7	80
24	8	60
25	1	70
25	2	70
25	3	30
25	4	90
25	5	40
25	6	70
25	7	100
25	8	70
26	1	60
26	2	70
26	3	50
26	4	60
26	5	30
26	6	100
26	7	60
26	8	60
27	1	60
27	2	100
27	3	100
27	4	60
27	5	80
27	6	100
27	7	60
27	8	60
28	1	60
28	2	110
28	3	80
28	4	80
28	5	100
28	6	80
28	7	80
28	8	60
29	1	60
29	2	100
29	3	80
29	4	60
29	5	80
29	6	80
29	7	60
29	8	60
30	1	50
30	2	90
30	3	90
30	4	70
30	5	90
30	6	90
30	7	70
30	8	50
31	1	60
31	2	60
31	3	10
