p	L_p
1	1
2	5
3	1
4	3
5	5
6	3
7	1
8	3
9	3
10	3
11	7
12	5
13	5
14	6
15	6
16	6
17	5
18	2
19	10
20	3
21	10
22	3
23	3
24	2
25	5
26	3
27	2
28	2
29	8
30	1
31	4
32	2
33	3
34	2
35	5
36	6
37	2
38	3
39	3
40	1
41	2
42	2
43	5
44	7
45	1
46	2
47	3
48	9
49	1
50	1
51	1
52	2
53	4
54	2
55	3
56	2
57	2
58	6
59	5
60	8
61	8
62	8
63	2
64	9
65	6
66	4
67	3
68	4
69	5
70	2
71	1
72	4
73	3
74	2
75	7
76	7
77	8
78	4
79	3
80	6
81	3
82	1
83	3
84	8
85	3
86	2
87	3
88	3
89	1
90	5
91	2
92	7
93	2
94	2
95	5
96	6
97	2
98	3
99	7
100	3
101	4
102	1
103	10
104	10
105	10
106	2
107	3
108	7
109	3
110	3
111	3
112	3
113	3
114	10
115	6
116	3
117	2
118	2
119	1
120	6
121	3
122	1
123	3
124	5
125	3
126	7
127	5
128	2
129	2
130	6
131	8
132	10
133	9
134	1
135	9
136	2
137	7
138	9
139	10
140	5
141	9
142	3
143	4
144	9
145	9
146	5
147	8
148	6
149	1
150	8
151	1
152	9
153	2
154	2
155	3
156	5
157	7
158	4
159	5
160	2
161	7
162	4
163	9
164	2
165	5
166	7
167	3
168	7
169	1
170	9
171	8
172	1
173	4
174	10
175	2
176	8
177	3
178	8
179	2
180	7
181	6
182	4
183	7
184	7
185	6
186	6
187	8
188	2
189	2
190	9
191	5
192	2
193	4
194	3
195	3
196	9
197	7
198	2
199	2
200	3
