p	ad_min	ad_max
1	0	6
2	0	0
3	0	6
4	0	0
5	0	3
6	0	0
7	0	0
8	0	6
9	0	0
10	0	8
11	0	0
12	0	12
13	5	10
14	4	12
15	3	3
16	5	8
17	1	9
18	4	4
19	11	11
20	7	7
21	9	9
22	11	11
23	6	11
24	2	10
25	5	9
26	3	3
27	9	9
28	9	9
29	9	9
30	11	11
31	12	12
32	8	10
33	13	13
34	11	11
35	2	4
36	13	13
37	4	4
38	1	1
39	0	0
40	7	7
41	10	10
42	1	1
43	12	12
44	7	7
45	1	1
46	10	10
47	9	9
48	2	11
49	7	7
50	2	9
51	1	3
52	11	11
53	11	11
54	10	10
55	10	10
56	12	12
57	1	9
58	13	13
59	11	11
60	7	8
61	7	7
62	6	6
63	4	4
64	10	10
65	6	7
66	1	2
67	10	10
68	7	7
69	3	3
70	4	4
71	8	8
72	12	12
73	6	11
74	11	11
75	0	10
76	1	10
77	12	12
78	1	1
79	8	9
80	7	11
81	2	2
82	2	5
83	4	4
84	10	10
85	13	13
86	2	2
87	6	10
88	9	9
89	6	6
90	12	12
91	0	0
92	11	11
93	4	4
94	1	1
95	1	1
96	1	11
97	6	6
98	9	12
99	5	11
100	9	9
101	9	9
102	3	3
103	5	11
104	4	4
105	2	2
106	8	8
107	1	1
108	1	9
109	4	11
110	11	11
111	8	8
112	3	3
113	13	13
114	4	4
115	1	2
116	7	10
117	7	7
118	3	3
119	10	10
120	2	2
121	10	10
122	0	1
123	4	10
124	3	3
125	2	10
126	11	11
127	4	7
128	10	10
129	0	4
130	12	12
131	12	12
132	8	8
133	1	1
134	4	4
135	9	9
136	9	9
137	10	10
138	10	10
139	2	6
140	3	8
141	11	11
142	1	12
143	12	12
144	7	11
145	7	7
146	8	8
147	0	6
148	12	12
149	10	11
150	2	2
151	13	13
152	4	4
153	7	7
154	10	10
155	3	8
156	12	12
157	2	2
158	9	9
159	4	4
160	4	4
161	5	5
162	11	11
163	2	2
164	4	4
165	9	9
166	0	3
167	13	13
168	1	3
169	6	6
170	9	9
171	8	8
172	12	12
173	0	0
174	3	3
175	11	11
176	5	6
177	1	8
178	0	0
179	6	6
180	6	6
181	1	2
182	3	4
183	1	4
184	13	13
185	4	13
186	2	2
187	12	12
188	5	5
189	4	11
190	6	6
191	9	9
192	13	13
193	9	9
194	11	11
195	13	13
196	4	4
197	12	12
198	12	12
199	7	7
200	13	13
201	2	2
202	0	0
203	13	13
204	2	2
205	2	6
206	11	11
207	8	8
208	2	2
209	12	12
210	8	8
211	10	10
212	11	11
213	9	9
214	12	12
215	8	10
216	11	12
217	5	5
218	13	13
219	1	1
220	7	7
221	9	9
222	7	7
223	13	13
224	8	8
225	8	8
226	1	7
227	5	5
228	0	0
229	6	10
230	0	0
231	1	1
232	7	7
233	9	11
234	12	12
235	8	8
236	1	12
237	1	1
238	2	2
239	5	5
240	8	11
241	10	10
242	7	7
243	4	4
244	2	2
245	2	4
246	13	13
247	1	4
248	13	13
249	6	6
250	11	11
