p	r	R_p
1	1	1
1	2	1
1	3	0
1	4	0
1	5	1
1	6	1
1	7	1
1	8	1
1	9	0
1	10	0
1	11	1
1	12	1
1	13	0
1	14	1
1	15	1
1	16	1
1	17	1
1	18	1
1	19	1
1	20	0
1	21	1
1	22	1
1	23	1
1	24	0
1	25	1
1	26	1
1	27	1
1	28	0
1	29	1
1	30	0
1	31	1
1	32	0
1	33	1
1	34	1
1	35	0
1	36	1
1	37	1
1	38	1
1	39	1
1	40	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	1
2	6	0
2	7	1
2	8	1
2	9	0
2	10	0
2	11	1
2	12	1
2	13	0
2	14	0
2	15	0
2	16	0
2	17	0
2	18	0
2	19	1
2	20	0
2	21	1
2	22	0
2	23	0
2	24	0
2	25	0
2	26	0
2	27	0
2	28	0
2	29	0
2	30	0
2	31	0
2	32	0
2	33	0
2	34	0
2	35	0
2	36	1
2	37	0
2	38	1
2	39	0
2	40	0
3	1	1
3	2	0
3	3	1
3	4	1
3	5	0
3	6	1
3	7	0
3	8	0
3	9	1
3	10	1
3	11	0
3	12	0
3	13	1
3	14	1
3	15	0
3	16	1
3	17	1
3	18	1
3	19	0
3	20	1
3	21	0
3	22	1
3	23	0
3	24	1
3	25	0
3	26	0
3	27	1
3	28	1
3	29	0
3	30	1
3	31	1
3	32	1
3	33	0
3	34	1
3	35	1
3	36	0
3	37	1
3	38	0
3	39	1
3	40	1
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	1
4	15	0
4	16	1
4	17	1
4	18	1
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
4	25	0
4	26	0
4	27	1
4	28	0
4	29	0
4	30	0
4	31	1
4	32	0
4	33	0
4	34	0
4	35	0
4	36	0
4	37	1
4	38	0
4	39	1
4	40	0
5	1	1
5	2	0
5	3	1
5	4	0
5	5	1
5	6	0
5	7	1
5	8	0
5	9	1
5	10	0
5	11	1
5	12	1
5	13	0
5	14	1
5	15	0
5	16	0
5	17	1
5	18	1
5	19	1
5	20	1
5	21	0
5	22	0
5	23	0
5	24	1
5	25	0
5	26	0
5	27	1
5	28	0
5	29	0
5	30	1
5	31	1
5	32	1
5	33	0
5	34	0
5	35	1
5	36	1
5	37	0
5	38	0
5	39	0
5	40	1
6	1	1
6	2	0
6	3	0
6	4	0
6	5	1
6	6	0
6	7	1
6	8	0
6	9	0
6	10	0
6	11	1
6	12	1
6	13	0
6	14	1
6	15	0
6	16	1
6	17	1
6	18	1
6	19	1
6	20	0
6	21	1
6	22	0
6	23	0
6	24	0
6	25	0
6	26	0
6	27	1
6	28	0
6	29	0
6	30	0
6	31	1
6	32	0
6	33	0
6	34	0
6	35	0
6	36	1
6	37	1
6	38	1
6	39	1
6	40	0
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	1
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	1
7	15	0
7	16	1
7	17	1
7	18	1
7	19	0
7	20	0
7	21	0
7	22	1
7	23	0
7	24	0
7	25	0
7	26	0
7	27	1
7	28	0
7	29	0
7	30	0
7	31	1
7	32	0
7	33	0
7	34	1
7	35	0
7	36	0
7	37	1
7	38	0
7	39	1
7	40	0
8	1	1
8	2	1
8	3	0
8	4	0
8	5	1
8	6	1
8	7	1
8	8	1
8	9	0
8	10	0
8	11	1
8	12	1
8	13	0
8	14	1
8	15	1
8	16	1
8	17	1
8	18	1
