p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	0.96
1	4	0.40
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	0.65
2	6	0.08
3	1	1.00
3	2	1.00
3	3	1.00
3	4	1.00
3	5	0.79
3	6	0.23
4	1	1.00
4	2	1.00
4	3	0.59
4	4	0.00
5	1	1.00
5	2	1.00
5	3	1.00
5	4	1.00
5	5	1.00
5	6	1.00
5	7	0.12
5	8	0.10
6	1	1.00
6	2	0.12
6	3	0.04
7	1	1.00
7	2	1.00
7	3	1.00
7	4	1.00
7	5	1.00
7	6	1.00
7	7	1.00
7	8	1.00
7	9	0.02
7	10	0.01
8	1	1.00
8	2	1.00
8	3	1.00
8	4	0.03
8	5	0.03
9	1	1.00
9	2	0.77
9	3	0.42
10	1	1.00
10	2	1.00
10	3	0.00
10	4	0.00
11	1	1.00
11	2	0.18
11	3	0.13
12	1	1.00
12	2	0.92
12	3	0.00
13	1	1.00
13	2	1.00
13	3	0.73
13	4	0.04
14	1	1.00
14	2	0.11
14	3	0.05
15	1	1.00
15	2	1.00
15	3	1.00
15	4	0.05
15	5	0.01
16	1	1.00
16	2	0.28
16	3	0.27
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	1.00
17	6	0.07
18	1	1.00
18	2	1.00
18	3	0.16
18	4	0.13
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	0.26
19	6	0.07
20	1	1.00
20	2	1.00
20	3	0.48
20	4	0.40
21	1	1.00
21	2	1.00
21	3	1.00
21	4	1.00
21	5	1.00
21	6	1.00
21	7	0.59
21	8	0.09
22	1	1.00
22	2	1.00
22	3	1.00
22	4	0.72
22	5	0.35
23	1	1.00
23	2	1.00
23	3	0.82
23	4	0.65
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	1.00
24	6	1.00
24	7	1.00
24	8	1.00
24	9	0.49
24	10	0.01
25	1	1.00
25	2	1.00
25	3	0.98
25	4	0.13
26	1	1.00
26	2	1.00
26	3	0.93
26	4	0.47
27	1	1.00
27	2	1.00
27	3	1.00
27	4	1.00
27	5	1.00
27	6	1.00
27	7	1.00
27	8	1.00
27	9	0.18
27	10	0.15
28	1	1.00
28	2	1.00
28	3	1.00
28	4	1.00
28	5	1.00
28	6	1.00
28	7	1.00
28	8	1.00
28	9	0.01
28	10	0.00
29	1	1.00
29	2	1.00
29	3	0.48
29	4	0.17
30	1	1.00
30	2	1.00
30	3	1.00
30	4	0.73
30	5	0.42
31	1	1.00
31	2	1.00
31	3	0.52
31	4	0.11
32	1	1.00
32	2	0.52
32	3	0.51
33	1	1.00
33	2	1.00
33	3	1.00
33	4	0.04
33	5	0.02
34	1	1.00
34	2	1.00
34	3	0.01
34	4	0.00
35	1	1.00
35	2	1.00
35	3	0.57
35	4	0.29
36	1	1.00
36	2	1.00
36	3	1.00
36	4	0.36
36	5	0.24
37	1	1.00
37	2	1.00
37	3	1.00
37	4	1.00
37	5	1.00
37	6	1.00
37	7	1.00
37	8	0.44
37	9	0.18
38	1	1.00
38	2	1.00
38	3	1.00
38	4	1.00
38	5	1.00
38	6	1.00
38	7	1.00
38	8	1.00
38	9	0.33
38	10	0.15
39	1	1.00
39	2	1.00
39	3	1.00
39	4	0.07
39	5	0.01
40	1	1.00
40	2	1.00
40	3	1.00
40	4	0.62
40	5	0.58
41	1	1.00
41	2	1.00
41	3	1.00
41	4	0.55
41	5	0.08
42	1	1.00
42	2	1.00
42	3	0.53
42	4	0.06
43	1	1.00
43	2	0.05
43	3	0.03
44	1	1.00
44	2	1.00
44	3	1.00
44	4	0.05
44	5	0.04
45	1	1.00
45	2	1.00
45	3	1.00
45	4	1.00
45	5	0.92
45	6	0.51
46	1	1.00
46	2	1.00
46	3	1.00
46	4	0.92
46	5	0.27
47	1	1.00
47	2	1.00
47	3	1.00
47	4	1.00
47	5	0.39
47	6	0.08
48	1	1.00
48	2	1.00
48	3	1.00
48	4	0.40
48	5	0.35
49	1	1.00
49	2	1.00
49	3	1.00
49	4	1.00
49	5	0.54
49	6	0.51
50	1	1.00
50	2	1.00
50	3	1.00
50	4	1.00
50	5	1.00
50	6	1.00
50	7	1.00
50	8	0.01
50	9	0.01
