p	ad_min	ad_max
1	0	16
2	0	0
3	0	0
4	0	20
5	0	7
6	0	0
7	0	11
8	0	1
9	0	0
10	0	12
11	0	0
12	0	0
13	0	9
14	0	5
15	0	0
16	0	0
17	0	9
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	23
24	0	0
25	0	0
26	13	13
27	3	9
28	25	25
29	7	23
30	9	16
31	8	16
32	25	25
33	18	19
34	10	10
35	26	26
36	7	23
37	16	16
38	26	26
39	6	6
40	9	9
41	9	25
42	8	8
43	13	13
44	2	2
45	17	17
46	2	2
47	8	8
48	14	14
49	24	24
50	19	19
51	25	25
52	21	22
53	2	14
54	0	8
55	23	23
56	18	21
57	12	12
58	25	25
59	26	26
60	12	13
61	17	17
62	2	2
63	17	17
64	25	27
65	23	23
66	17	17
67	21	25
68	20	20
69	9	9
70	18	18
71	21	21
72	14	14
73	8	11
74	27	27
75	4	12
76	0	0
77	0	17
78	24	24
79	4	11
80	16	16
81	25	25
82	24	24
83	13	13
84	1	1
85	21	21
86	15	15
87	11	11
88	16	21
89	24	24
90	26	26
91	11	15
92	22	26
93	12	13
94	26	26
95	20	26
96	22	22
97	17	17
98	21	24
99	22	22
100	18	20
101	14	15
102	16	21
103	6	19
104	3	21
105	0	19
106	19	19
107	8	14
108	11	11
109	9	16
110	11	11
111	10	19
112	20	22
113	4	23
114	10	14
115	24	24
116	6	6
117	6	22
118	3	3
119	24	24
120	8	12
121	25	25
122	2	9
123	21	21
124	18	21
125	6	6
126	10	10
127	16	16
128	27	27
129	27	27
130	25	25
131	23	23
132	5	5
133	0	13
134	22	22
135	6	6
136	22	22
137	2	2
138	1	3
139	6	6
140	18	18
141	16	16
142	23	23
143	13	13
144	15	15
145	27	27
146	25	25
147	27	27
148	26	27
149	23	23
150	21	22
151	8	8
152	11	12
153	15	15
154	23	23
155	3	7
156	4	4
157	11	11
158	17	17
159	9	19
160	22	22
161	20	20
162	26	26
163	2	17
164	10	14
165	10	11
166	3	3
167	11	11
168	2	12
169	7	7
170	10	10
171	5	6
172	18	23
173	18	18
174	18	18
175	12	12
176	19	19
177	0	0
178	9	9
179	26	26
180	24	24
181	16	16
182	8	8
183	24	24
184	18	23
185	14	14
186	22	22
187	2	19
188	20	20
189	20	20
190	16	16
191	23	23
192	2	5
193	10	20
194	18	20
195	15	15
196	25	25
197	24	24
198	0	0
199	22	22
200	11	18
201	9	19
202	12	12
203	21	21
204	1	1
205	12	12
206	5	5
207	23	23
208	4	6
209	11	11
210	26	27
211	12	12
212	12	12
213	5	10
214	3	3
215	23	25
216	3	7
217	19	19
218	23	23
219	18	19
220	16	16
221	15	18
222	15	15
223	22	22
224	13	13
225	12	12
226	25	25
