p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	1.00
1	5	1.00
1	6	0.06
1	7	0.03
2	1	1.00
2	2	0.27
2	3	0.16
3	1	1.00
3	2	1.00
3	3	0.09
3	4	0.03
4	1	1.00
4	2	1.00
4	3	1.00
4	4	0.06
4	5	0.02
5	1	1.00
5	2	0.26
5	3	0.21
6	1	1.00
6	2	1.00
6	3	0.44
6	4	0.19
7	1	1.00
7	2	1.00
7	3	1.00
7	4	0.36
7	5	0.13
8	1	1.00
8	2	0.87
8	3	0.09
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	0.17
9	6	0.01
10	1	1.00
10	2	1.00
10	3	0.38
10	4	0.14
11	1	1.00
11	2	1.00
11	3	1.00
11	4	1.00
11	5	0.19
11	6	0.13
12	1	1.00
12	2	1.00
12	3	0.65
12	4	0.42
13	1	1.00
13	2	0.24
13	3	0.08
14	1	1.00
14	2	1.00
14	3	1.00
14	4	0.29
14	5	0.23
15	1	1.00
15	2	1.00
15	3	0.41
15	4	0.39
16	1	1.00
16	2	1.00
16	3	1.00
16	4	0.24
16	5	0.24
17	1	1.00
17	2	1.00
17	3	0.15
17	4	0.07
18	1	1.00
18	2	1.00
18	3	0.48
18	4	0.41
19	1	1.00
19	2	1.00
19	3	1.00
19	4	0.85
19	5	0.54
20	1	1.00
20	2	1.00
20	3	1.00
20	4	1.00
20	5	0.78
20	6	0.48
21	1	1.00
21	2	0.05
21	3	0.02
22	1	1.00
22	2	1.00
22	3	1.00
22	4	0.28
22	5	0.21
23	1	1.00
23	2	1.00
23	3	1.00
23	4	0.96
23	5	0.94
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	0.33
24	6	0.24
25	1	1.00
25	2	1.00
25	3	1.00
25	4	0.09
25	5	0.06
26	1	1.00
26	2	1.00
26	3	0.74
26	4	0.13
27	1	1.00
27	2	1.00
27	3	0.62
27	4	0.41
28	1	1.00
28	2	1.00
28	3	1.00
28	4	1.00
28	5	1.00
28	6	0.56
